cityname,i_o_length,prediction_horizon,grid_size,cx_sample_whole_data,CSR_MP_sum_y_exceeding_r_x_max,CSR_PM_sum_y_exceeding_r_x_max,CSR_NM_sum_y_exceeding_r_x_max,CSR_GB_sum_y_exceeding_r_x_max,CSR_PM_std,CSR_MP_std,CSR_MP_count,CSR_PM_count,CSR_NM_count,CSR_GB_count
madrid,1,1,55,1000,-1,2244.6211534636486,0,9999,5383.514250833839,-1,-1,1000,-1,-1
madrid,2,1,55,1000,-1,2710.185,0,9999,5935.58316630725,-1,-1,1000,-1,-1
madrid,3,1,55,1000,-1,3862.898,0,9999,8218.365227325992,-1,-1,1000,-1,-1
madrid,4,1,55,1000,-1,5267.59475,0,9999,9677.242777133626,-1,-1,1000,-1,-1
madrid,5,1,55,1000,-1,6897.292,0,9999,14739.7998755957,-1,-1,1000,-1,-1
madrid,6,1,55,1000,-1,7916.261,0,9999,16307.697667991917,-1,-1,1000,-1,-1
madrid,7,1,55,1000,-1,10434.85975,0,9999,19713.006739004006,-1,-1,1000,-1,-1
madrid,8,1,55,1000,-1,10974.8205,0,9999,19237.42057614611,-1,-1,1000,-1,-1
madrid,4,1,25,1000,-1,1334.0625,0,9999,2653.080258038522,-1,-1,1000,-1,-1
madrid,4,1,35,1000,-1,3160.5824814814814,0,9999,5129.783235878935,-1,-1,1000,-1,-1
madrid,4,1,45,1000,-1,3159.4865,0,9999,9114.1727805143,-1,-1,1000,-1,-1
madrid,4,1,55,1000,-1,5681.2675,0,9999,11121.57101985568,-1,-1,1000,-1,-1
madrid,4,1,65,1000,-1,5824.894,0,9999,14611.904045195959,-1,-1,1000,-1,-1
madrid,4,1,75,1000,-1,7180.69,0,9999,20302.879109442827,-1,-1,1000,-1,-1
madrid,4,1,85,1000,-1,7915.69625,0,9999,21842.24146989723,-1,-1,1000,-1,-1
madrid,4,1,95,1000,-1,12011.2995,0,9999,34215.48970107581,-1,-1,1000,-1,-1
madrid,4,1,105,1000,-1,11531.3785,0,9999,30694.642023388835,-1,-1,1000,-1,-1
madrid,4,1,55,1000,-1,5605.45225,0,9999,12677.202947413416,-1,-1,1000,-1,-1
madrid,4,2,55,1000,-1,7379.33475,0,9999,15321.833230561217,-1,-1,1000,-1,-1
madrid,4,3,55,1000,-1,8189.904,0,9999,15867.84301341975,-1,-1,1000,-1,-1
madrid,4,4,55,1000,-1,9096.98425,0,9999,16370.403940753553,-1,-1,1000,-1,-1
madrid,4,5,55,1000,-1,9553.902,0,9999,15262.570965400815,-1,-1,1000,-1,-1
madrid,4,6,55,1000,-1,10014.49375,0,9999,16145.850287659781,-1,-1,1000,-1,-1
madrid,4,7,55,1000,-1,10379.28275,0,9999,15788.726212447125,-1,-1,1000,-1,-1
madrid,4,8,55,1000,-1,9946.4795,0,9999,15562.165660551706,-1,-1,1000,-1,-1
melbourne,1,1,55,1000,-1,465.6495,0,9999,710.7617381371552,-1,-1,1000,-1,-1
melbourne,2,1,55,1000,-1,474.55475,0,9999,731.8192366902755,-1,-1,1000,-1,-1
melbourne,3,1,55,1000,-1,545.1855,0,9999,922.0082375389876,-1,-1,1000,-1,-1
melbourne,4,1,55,1000,-1,801.03075,0,9999,1319.637650452554,-1,-1,1000,-1,-1
melbourne,5,1,55,1000,-1,956.3195,0,9999,1489.4012889143578,-1,-1,1000,-1,-1
melbourne,6,1,55,1000,-1,1105.50925,0,9999,1714.46920549829,-1,-1,1000,-1,-1
melbourne,7,1,55,1000,-1,1139.767,0,9999,1759.3203343083942,-1,-1,1000,-1,-1
melbourne,8,1,55,1000,-1,1155.7615,0,9999,1868.2809400603405,-1,-1,1000,-1,-1
melbourne,4,1,25,1000,-1,244.043,0,9999,425.7247657242881,-1,-1,1000,-1,-1
melbourne,4,1,35,1000,-1,467.3475,0,9999,815.8657110663189,-1,-1,1000,-1,-1
melbourne,4,1,45,1000,-1,677.60325,0,9999,1236.4963494798267,-1,-1,1000,-1,-1
melbourne,4,1,55,1000,-1,728.22275,0,9999,1178.7891625286252,-1,-1,1000,-1,-1
melbourne,4,1,65,1000,-1,858.987,0,9999,1462.1270875700238,-1,-1,1000,-1,-1
melbourne,4,1,75,1000,-1,931.026,0,9999,1519.8868495134761,-1,-1,1000,-1,-1
melbourne,4,1,85,1000,-1,972.424,0,9999,1555.3408617483178,-1,-1,1000,-1,-1
melbourne,4,1,95,1000,-1,1049.406,0,9999,1735.804285961986,-1,-1,1000,-1,-1
melbourne,4,1,105,1000,-1,1004.618,0,9999,1549.463389072488,-1,-1,1000,-1,-1
melbourne,4,1,55,1000,-1,765.86225,0,9999,1230.449710253303,-1,-1,1000,-1,-1
melbourne,4,2,55,1000,-1,983.614,0,9999,1551.9048959678555,-1,-1,1000,-1,-1
melbourne,4,3,55,1000,-1,1039.66275,0,9999,1537.883937574594,-1,-1,1000,-1,-1
melbourne,4,4,55,1000,-1,1184.8085,0,9999,1735.4651956543958,-1,-1,1000,-1,-1
melbourne,4,5,55,1000,-1,1144.66375,0,9999,1689.1962572843445,-1,-1,1000,-1,-1
melbourne,4,6,55,1000,-1,1263.96425,0,9999,1859.263321596604,-1,-1,1000,-1,-1
melbourne,4,7,55,1000,-1,1214.75275,0,9999,1715.2846453445961,-1,-1,1000,-1,-1
melbourne,4,8,55,1000,-1,1232.2255,0,9999,1738.5707268183683,-1,-1,1000,-1,-1
london,1,1,55,1000,-1,829.88025,0,9999,1333.1008156165224,-1,-1,1000,-1,-1
london,2,1,55,1000,-1,896.04825,0,9999,1546.05879989554,-1,-1,1000,-1,-1
london,3,1,55,1000,-1,1007.38825,0,9999,1959.273157372253,-1,-1,1000,-1,-1
london,4,1,55,1000,-1,1601.3155,0,9999,2793.200002140869,-1,-1,1000,-1,-1
london,5,1,55,1000,-1,1999.55225,0,9999,3366.330697522517,-1,-1,1000,-1,-1
london,6,1,55,1000,-1,2055.66875,0,9999,3499.8983583221293,-1,-1,1000,-1,-1
london,7,1,55,1000,-1,2118.563,0,9999,3567.341414647048,-1,-1,1000,-1,-1
london,8,1,55,1000,-1,2478.1975,0,9999,3781.88529225091,-1,-1,1000,-1,-1
london,4,1,25,1000,-1,1165.0965,0,9999,2119.4747367420423,-1,-1,1000,-1,-1
london,4,1,35,1000,-1,1386.29875,0,9999,2296.872148637346,-1,-1,1000,-1,-1
london,4,1,45,1000,-1,1480.212,0,9999,2543.2319419748173,-1,-1,1000,-1,-1
london,4,1,55,1000,-1,1586.8915,0,9999,2542.807405354906,-1,-1,1000,-1,-1
london,4,1,65,1000,-1,1581.66225,0,9999,2893.5517157962527,-1,-1,1000,-1,-1
london,4,1,75,1000,-1,1775.431,0,9999,2850.8471992092104,-1,-1,1000,-1,-1
london,4,1,85,1000,-1,1667.57725,0,9999,2875.646181659861,-1,-1,1000,-1,-1
london,4,1,95,1000,-1,1721.0395,0,9999,2904.7767182805546,-1,-1,1000,-1,-1
london,4,1,105,1000,-1,1766.68425,0,9999,2847.592039599324,-1,-1,1000,-1,-1
london,4,1,55,1000,-1,1449.65375,0,9999,2578.1023150368637,-1,-1,1000,-1,-1
london,4,2,55,1000,-1,1769.38175,0,9999,2858.390547157515,-1,-1,1000,-1,-1
london,4,3,55,1000,-1,2097.79925,0,9999,3313.9528135237438,-1,-1,1000,-1,-1
london,4,4,55,1000,-1,2379.7215,0,9999,3555.9723009765908,-1,-1,1000,-1,-1
london,4,5,55,1000,-1,2249.153,0,9999,3469.4847315870984,-1,-1,1000,-1,-1
london,4,6,55,1000,-1,2377.9935,0,9999,3521.2242013726914,-1,-1,1000,-1,-1
london,4,7,55,1000,-1,2522.1485,0,9999,3562.86594558338,-1,-1,1000,-1,-1
london,4,8,55,1000,-1,2596.23175,0,9999,3490.4015378218933,-1,-1,1000,-1,-1
